Выбор;Тип;Вид;Организация;Родитель;Владелец
Нет;РегистрыСведений;АмортизационныеГруппыОКОФ;Нет;Нет;Нет
Нет;РегистрыСведений;АналитикаУчетаЗатрат;Нет;Нет;Нет
Нет;РегистрыСведений;АналитикаУчетаНДС;Нет;Нет;Нет
Нет;РегистрыСведений;БазаРаспределенияНДС;Нет;Нет;Нет
Нет;РегистрыСведений;БухучетЗарплатыОрганизаций;Нет;Нет;Нет
Нет;РегистрыСведений;ГражданствоФизическихЛиц;Нет;Нет;Нет
Нет;РегистрыСведений;ДанныеПервичныхДокументов;Нет;Нет;Нет
Нет;РегистрыСведений;ДанныеПроизводственногоКалендаря;Нет;Нет;Нет
Нет;РегистрыСведений;ДокументыПереходаНЗПДетализацияПоПродукции;Нет;Нет;Нет
Нет;РегистрыСведений;ДокументыФизическихЛиц;Нет;Нет;Нет
Нет;РегистрыСведений;ДолиСписанияКосвенныхРасходов;Нет;Нет;Нет
Нет;РегистрыСведений;ДополнительныеНастройкиЗарплатаКадры;Нет;Нет;Нет
Нет;РегистрыСведений;ДополнительныеСведения;Нет;Нет;Нет
Нет;РегистрыСведений;ЖурналУчетаСчетовФактур;Нет;Нет;Нет
Нет;РегистрыСведений;КалендарныеГрафики;Нет;Нет;Нет
Нет;РегистрыСведений;КорреспонденцииСчетов;Нет;Нет;Нет
Нет;РегистрыСведений;КурсыВалют;Нет;Нет;Нет
Нет;РегистрыСведений;МестонахождениеОСБухгалтерскийУчет;Нет;Нет;Нет
Нет;РегистрыСведений;МетодыОпределенияПрямыхРасходовПроизводстваВНУ;Нет;Нет;Нет
Нет;РегистрыСведений;НастройкиВариантаРасчетаКорректировокВВалюте;Нет;Нет;Нет
Нет;РегистрыСведений;НастройкиЗарплатаКадры;Нет;Нет;Нет
Нет;РегистрыСведений;НастройкиРасчетаЗарплаты;Нет;Нет;Нет
Нет;РегистрыСведений;НастройкиРасчетаНДС;Нет;Нет;Нет
