Выбор;Тип;Вид;Организация;Родитель;Владелец
Нет;РегистрыСведений;АбонентыЭДО;Нет;Нет;Нет
Нет;РегистрыСведений;АдресныеОбъекты;Нет;Нет;Нет
Нет;РегистрыСведений;АктивностьСеансовПользователей;Нет;Нет;Нет
Нет;РегистрыСведений;АктуальностьСпискаЗадачБухгалтера;Нет;Нет;Нет
Нет;РегистрыСведений;БезопасноеХранилищеДанных;Нет;Нет;Нет
Нет;РегистрыСведений;БИКУчастниковСБП;Нет;Нет;Нет
Нет;РегистрыСведений;БуферОперацийСтатистики;Нет;Нет;Нет
Нет;РегистрыСведений;ВерсииКлассификаторов;Нет;Нет;Нет
Нет;РегистрыСведений;ВерсииОбъектов;Нет;Нет;Нет
Нет;РегистрыСведений;ВерсииПодсистем;Нет;Нет;Нет
Нет;РегистрыСведений;ВерсииРегламентированныхОтчетов;Нет;Нет;Нет
Нет;РегистрыСведений;ВидыАлкогольнойПродукцииЕГАИС;Нет;Нет;Нет
Нет;РегистрыСведений;ВидыДокументовГосОргановДляПоиска;Нет;Нет;Нет
Нет;РегистрыСведений;ГруппыЗначенийДоступа;Нет;Нет;Нет
Нет;РегистрыСведений;ГруппыКомпанийБанков;Нет;Нет;Нет
Нет;РегистрыСведений;ДампыПлатформы;Нет;Нет;Нет
Нет;РегистрыСведений;ДанныеКонтрагентовСоздаваемыхБезусловно;Нет;Нет;Нет
Нет;РегистрыСведений;ДанныеМонитораРуководителя;Нет;Нет;Нет
Нет;РегистрыСведений;ДанныеОКВЭД;Нет;Нет;Нет
Нет;РегистрыСведений;ДатыЗагрузкиПоследнихНовостей;Нет;Нет;Нет
Нет;РегистрыСведений;ДатыОбновленияСтандартныхСписковНовостей;Нет;Нет;Нет
Нет;РегистрыСведений;ДокументыПоТребованиюФНС;Нет;Нет;Нет
Нет;РегистрыСведений;ДокументыСОшибкамиПроверкиКонтрагентов;Нет;Нет;Нет
Нет;РегистрыСведений;ДополнительныеСведения;Нет;Нет;Нет
Нет;РегистрыСведений;ДополнительныеФайлыРегламентированныхОтчетов;Нет;Нет;Нет
Нет;РегистрыСведений;ДопустимыеСочетанияКодовГруппСтажа;Нет;Нет;Нет
Нет;РегистрыСведений;ДоступныеЗначенияПоМестамПримененияЭлементовКонструктораВидовПродукцииИС;Нет;Нет;Нет
Нет;РегистрыСведений;ДоступныеЗначенияЭлементовКонструктораВидовПродукцииИС;Нет;Нет;Нет
Нет;РегистрыСведений;ЖурналНовыхСобытий;Нет;Нет;Нет
Нет;РегистрыСведений;ЖурналОтправокВКонтролирующиеОрганы;Нет;Нет;Нет
Нет;РегистрыСведений;ЖурналОтчетовСтатусы;Нет;Нет;Нет
Нет;РегистрыСведений;ЗависимостиПравДоступа;Нет;Нет;Нет
Нет;РегистрыСведений;ЗадачиБухгалтера;Нет;Нет;Нет
Нет;РегистрыСведений;ЗамерыВремени;Нет;Нет;Нет
Нет;РегистрыСведений;ЗамерыВремениТехнологические;Нет;Нет;Нет
Нет;РегистрыСведений;ЗамерыКомментарииСтатистики;Нет;Нет;Нет
