Выбор;Тип;Вид;Организация;Родитель;Владелец;
Нет;Справочники;Банки;Нет;Нет;Нет;
Нет;Справочники;БанкиУниверсальногоОбмена;Нет;Нет;Нет;
Да;Справочники;БанковскиеСчета;Нет;Нет;Нет;
Нет;Справочники;Валюты;Нет;Нет;Нет;
Нет;Справочники;ВидыВозвратаВОборотИСМП;Нет;Нет;Нет;
Нет;Справочники;ВидыВычетовНДФЛ;Нет;Нет;Нет;
Нет;Справочники;ВидыДокументовФизическихЛиц;Нет;Нет;Нет;
Нет;Справочники;ВидыДокументовЭДО;Нет;Нет;Нет;
Нет;Справочники;ВидыДокументовЭДОБЗК;Нет;Нет;Нет;
Нет;Справочники;ВидыДоходовНДФЛ;Нет;Нет;Нет;
Нет;Справочники;ВидыДоходовПоСтраховымВзносам;Нет;Нет;Нет;
Нет;Справочники;ВидыКонтактнойИнформации;Нет;Нет;Нет;
Нет;Справочники;ВидыНалоговИПлатежейВБюджет;Нет;Нет;Нет;
Нет;Справочники;ВидыОбразованияФизическихЛиц;Нет;Нет;Нет;
Нет;Справочники;ВидыОбщественноПолезнойДеятельностиСЗВК;Нет;Нет;Нет;
Нет;Справочники;ВидыРегистровУчета;Нет;Нет;Нет;
Нет;Справочники;ВидыТарифовСтраховыхВзносов;Нет;Нет;Нет;
Нет;Справочники;ДоговорыКонтрагентов;Нет;Нет;Нет;
Нет;Справочники;Должности;Нет;Нет;Нет;
Нет;Справочники;ДополнительныеУсловия;Нет;Нет;Нет;
Нет;Справочники;ЗаголовкиСчетовПокупателям;Нет;Нет;Нет;
Нет;Справочники;ЗадачиБухгалтера;Нет;Нет;Нет;
Нет;Справочники;ЗамещениеГосударственныхМуниципальныхДолжностейПФР;Нет;Нет;Нет;
Нет;Справочники;ЗванияГражданскогоВоинскогоУчета;Нет;Нет;Нет;
Нет;Справочники;ИдентификаторыОбъектовМетаданных;Нет;Нет;Нет;
Нет;Справочники;КлассификаторБанков;Нет;Нет;Нет;
Нет;Справочники;КлассификаторЕдиницИзмерения;Нет;Нет;Нет;
Нет;Справочники;КлассификаторЗанятий;Нет;Нет;Нет;
Нет;Справочники;КлассификаторНСИЗЕРНО;Нет;Нет;Нет;
Нет;Справочники;КлассификаторОКВЭД2;Нет;Нет;Нет;
Нет;Справочники;КлассификаторСтранСАТУРН;Нет;Нет;Нет;
Нет;Справочники;КлассификаторТНВЭД;Нет;Нет;Нет;
Нет;Справочники;КлассификаторТранспортныхСредствСАТУРН;Нет;Нет;Нет;
Нет;Справочники;КодыДокументовКадровыхМероприятий;Нет;Нет;Нет;
Нет;Справочники;КодыОперацийПрослеживаемости;Нет;Нет;Нет;
Нет;Справочники;КодыОперацийРаздела7ДекларацииПоНДС;Нет;Нет;Нет;
Нет;Справочники;КонтактныеЛица;Нет;Нет;Нет;
Нет;Справочники;Контрагенты;Нет;Нет;Нет;
Нет;Справочники;МаршрутыПодписания;Нет;Нет;Нет;
Нет;Справочники;НематериальныеАктивы;Нет;Нет;Нет;
Нет;Справочники;Номенклатура;Нет;Нет;Нет;
Нет;Справочники;НоменклатурныеГруппы;Нет;Нет;Нет;
Нет;Справочники;НомераГТД;Нет;Нет;Нет;
Нет;Справочники;ОбъектыСтроительства;Нет;Нет;Нет;
Нет;Справочники;Организации;Нет;Нет;Нет;
Нет;Справочники;ОснованияДосрочногоНазначенияПенсии;Нет;Нет;Нет;
Нет;Справочники;ОснованияДосрочногоНазначенияПенсииДляСЗВК;Нет;Нет;Нет;
Нет;Справочники;ОснованияИсчисляемогоСтраховогоСтажа;Нет;Нет;Нет;
Нет;Справочники;ОснованияУвольнения;Нет;Нет;Нет;
Нет;Справочники;ОсновныеСредства;Нет;Нет;Нет;
Нет;Справочники;ОсобыеУсловияТрудаДляСЗВКПФР;Нет;Нет;Нет;
Нет;Справочники;ОсобыеУсловияТрудаПФР;Нет;Нет;Нет;
